id,className,classId,dimData
1,1,0,"0.99131,0.65669,0.89394,0.27781,0.45003"
1,1,0,"0.73208,0.74816,0.69613,0.28247,0.34797"
1,1,0,"0.96353,0.76386,0.76279,0.29817,0.23882"
1,1,0,"0.89689,0.72001,0.71692,0.39163,0.29714"
1,1,1,"0.95921,0.15105,0.31997,0.28638,0.16127"
1,1,0,"0.82783,0.93403,0.38109,0.29868,0.17701"
1,1,0,"0.85783,0.85421,0.68512,0.28813,0.53988"
1,1,0,"0.85786,0.83325,0.68074,0.29338,0.044758"
1,1,0,"0.87823,0.94663,0.41137,0.30996,0.24918"
1,1,0,"0.93123,0.63846,0.36655,0.13234,0.21342"
1,1,0,"0.85439,0.8063,0.66805,0.36594,0.35736"
1,1,0,"0.8583,0.85538,0.68697,0.28021,0.3889"
1,1,1,"0.68368,0.2719,0.47931,0.44513,0.43268"
1,1,0,"0.878,0.72034,0.6906,0.47764,0.20528"
1,1,0,"0.85356,0.62624,0.58263,0.25251,0.15597"
1,1,0,"0.89284,0.61207,0.64498,0.27629,0.32555"
1,1,0,"0.63962,0.40789,0.54557,0.31734,0.41921"
1,1,0,"0.85459,0.71668,0.49108,0.43799,0.10061"
1,1,0,"0.8562,0.82658,0.67602,0.32292,0.38783"
1,1,0,"0.85577,0.7776,0.65397,0.30686,0.2024"
1,1,0,"0.84666,0.81022,0.79282,0.28808,0.2501"
1,1,0,"0.8612,0.78231,0.71757,0.33368,0.25915"
1,1,0,"0.94542,0.63866,0.68012,0.54738,0.36744"
1,1,1,"0.9578,0.7272,0.81793,0.39866,0.45667"
1,1,0,"0.88486,0.47478,0.55928,0.21852,0.38595"
1,1,0,"0.98402,0.76749,0.7219,0.40211,0.55409"
1,1,0,"0.078626,0.94418,0.71427,0.17368,0.26678"
1,1,0,"0.57704,0.87448,0.71013,0.25533,0.4329"
1,1,0,"0.85537,0.82894,0.6752,0.33929,0.57174"
1,1,0,"0.90083,0.81733,0.64293,0.38394,0.76108"
1,1,0,"0.95071,0.80628,0.68534,0.37192,0.85957"
1,1,0,"0.85758,0.84051,0.68187,0.30261,0.37465"
1,1,0,"0.85454,0.80893,0.67019,0.37045,0.36176"
1,1,0,"0.85352,0.81053,0.66662,0.38227,0.77876"
1,1,0,"0.9299,0.89278,0.50263,0.33362,0.29274"
1,1,0,"0.98081,0.58424,0.71751,0.25071,0.74576"
1,1,0,"0.89158,0.59387,0.63231,0.61619,0.25205"
1,1,0,"0.93553,0.83138,0.52954,0.30443,0.50707"
1,1,0,"0.9579,0.53284,0.50306,0.2398,0.49504"
1,1,1,"0.97757,0.86699,0.61693,0.24168,0.49054"
1,1,1,"0.94499,0.80078,0.67635,0.33592,0.41473"
1,1,0,"0.94913,0.68975,0.65897,0.27589,0.54883"
1,1,1,"0.89997,0.7589,0.67465,0.30406,0.25476"
1,1,0,"0.91495,0.46923,0.69802,0.21406,0.15288"
1,1,0,"0.85093,0.69995,0.62347,0.40242,0.17472"
1,1,0,"0.5187,0.6238,0.68597,0.60907,0.62728"
1,1,0,"0.78304,0.76957,0.17594,0.1843,0.51373"
1,1,0,"0.77131,0.68794,0.75513,0.53214,0.51211"
1,1,0,"0.55097,0.74846,0.7019,0.25755,0.13996"
1,1,0,"0.94887,0.80829,0.71084,0.33203,0.37025"
1,1,0,"0.97178,0.68641,0.60471,0.33475,0.54186"
1,1,0,"0.95765,0.69098,0.84166,0.381,0.052544"
1,1,0,"0.88195,0.46338,0.71255,0.25078,0.15547"
1,1,0,"0.86575,0.80112,0.61703,0.28968,0.48949"
1,1,0,"0.87434,0.82883,0.61485,0.36195,0.38556"
1,1,0,"0.97098,0.85168,0.58393,0.3554,0.49405"
1,1,0,"0.85847,0.84743,0.68674,0.28431,0.054003"
1,1,0,"0.82614,0.59683,0.49868,0.24409,0.41178"
1,1,0,"0.78864,0.77731,0.85075,0.28467,0.34261"
1,1,0,"0.85735,0.93672,0.4336,0.3049,0.43572"
1,1,0,"0.99068,0.75234,0.65054,0.31274,0.28322"
1,1,0,"1,0.69224,0.77667,0.41037,0.32337"
1,1,0,"0.93295,0.63783,0.74002,0.2655,0.56336"
1,1,0,"0.71847,0.25755,0.54636,0.52539,0.18475"
1,1,0,"0.84608,0.57484,0.59377,0.1608,0.27051"
1,1,0,"0.95811,0.71684,0.80361,0.42614,0.34189"
1,1,0,"0.76209,0.74012,0.77593,0.20308,0.73767"
1,1,0,"0.92003,0.96006,0,0.47833,0.15841"
1,1,1,"0.96146,0.7821,0.80814,0.31485,0.43268"
1,1,0,"0,0.79954,0.61885,0.30309,0.39365"
1,1,0,"0.91458,0.83555,0.69378,0.2971,0.17169"
1,1,0,"0.95619,0.85106,0.59826,0.31436,0.35464"
1,1,0,"0.9246,0.77977,0.80311,0.32218,0.30001"
1,1,0,"0.89688,0.71607,0.71723,0.26003,0.22062"
1,1,0,"0.89706,0.76848,0.76649,0.36309,0.28737"
1,1,0,"0.86071,0.7594,0.71034,0.42558,0.36111"
1,1,0,"0.60783,0.83139,0.74543,0.30315,0.44193"
1,1,0,"0.91542,0.66303,0.75842,0.27536,0.37089"
1,1,0,"0.9228,0.78922,0.81031,0.30694,0.50608"
1,1,0,"0.84908,0.92539,0.52325,0.27673,0.56139"
1,1,0,"0.85237,0.78877,0.68677,0.2424,0.26817"
1,1,0,"0.89535,0.74525,0.64514,0.31468,0.24149"
1,1,0,"0.66188,0.75166,0.72958,0.41961,0.3115"
1,1,0,"0.85259,0.74685,0.65034,0.2752,0.20821"
1,1,0,"0.86077,0.79188,0.75255,0.34386,0.35398"
1,1,0,"0.8001,0.77531,0.66723,0.24508,0.21679"
1,1,0,"0.97432,0.77535,0.77282,0.30296,0.2533"
1,1,0,"0.9663,0.76895,0.74876,0.32193,0.49432"
1,1,0,"0.83483,0.85431,0.6506,0.30839,0.33225"
1,1,0,"0.92048,0.88734,0.56256,0.30027,0.13777"
1,1,0,"0.98197,0.77552,0.80116,0.32753,0.36128"
1,1,0,"0.85372,0.76325,0.68104,0.44333,0.41938"
1,1,0,"0.96982,0.77952,0.67022,0.28261,0.45519"
1,1,0,"0.84722,0.94159,0.34407,0.31243,0.23976"
1,1,0,"0.96433,0.78257,0.77947,0.3348,0.15081"
1,1,0,"0.73358,0.68171,0.47644,0.69218,0.36568"
1,1,0,"0.97651,0.61032,0.5865,0.1963,0.53402"
1,1,0,"0.61703,0.59598,0.068958,0.10099,0.41974"
1,1,0,"0.72781,0.75847,0.72844,0.27354,0.35286"
1,1,0,"0.75285,0.94776,0.39294,0.33329,0.26278"
1,1,0,"0.81652,0.9975,0.29509,0.29597,0.16854"
1,1,0,"0.8815,0.7855,0.78855,0.3242,0.19784"
1,1,0,"0.85646,0.77077,0.65059,0.30514,0.36075"
1,1,0,"0.68922,0.75216,1,0.25662,0.16486"
1,1,0,"0.6449,0.73296,0.618,0.53214,0.37092"
1,1,0,"0.79319,0.86723,0.67051,0.26609,0.021566"
1,1,0,"0.76783,0.73733,0.87294,0.28506,0.54603"
1,1,0,"0.95268,0.89809,0.51135,0.32412,0.39117"
1,1,0,"0.86349,0.64617,0.62938,0.55901,0.16494"
1,1,0,"0.82282,0.9239,0.40321,0.35669,0.4254"
1,1,0,"0.81571,0.63386,0.79837,0.46774,0.41933"
1,1,0,"0.85555,0.80694,0.66729,0.33816,0.39537"
1,1,0,"0.98492,0.69436,0.69636,0.51769,0.36107"
1,1,0,"0.60874,0.77012,0.86882,0.29889,0.562"
1,1,0,"0.95654,0.72138,0.74691,0.28314,0.47224"
1,1,0,"0.8595,0.91063,0.51758,0.30044,0.41594"
1,1,0,"0.89053,0.94141,0.42531,0.31246,0.39714"
1,1,0,"0.94001,0.87475,0.58481,0.29995,0.22349"
1,1,0,"0.88244,0.74535,0.4534,0.22358,0.36484"
1,1,0,"0.82956,0.94777,0.45578,0.30194,0.30009"
1,1,0,"0.4216,0,0.52501,0.40459,0.2997"
1,1,0,"0.85585,0.86112,0.6396,0.29969,0.30476"
1,1,0,"0.73977,0.76,0.77899,0.23871,0.32645"
1,1,0,"0.96576,0.74605,0.7694,0.37577,0.29925"
1,1,0,"0.89872,0.73044,0.74336,0.40591,0.60524"
1,1,0,"0.84847,0.87994,0.55863,0.32019,0.29615"
1,1,0,"0.41303,0.86919,0.57749,0.17151,0.53245"
1,1,0,"0.89987,0.81597,0.6003,0.1969,0.56066"
